Fecha,01/2021,02/2021,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022
Carbon,"541071,556","177728,408","241176,975","267481,92","323743,854","459750,274","307908,152","315214,30299999996","466128,3249999999","511549,7739999999","559673,1399999999","694313,2369999998","682976,7559999999","549953,4480000001","680761,6619999999","664910,142","507057,40299999993","802761,2210000001","852063,7859999998","788905,4249999999","608041,293","370823,27700000006","312499,96299999993","668298,9760000001"
Fuel + Gas,-,-,-,-,-,-,-,"0,001","0,001",-,-,-,-,-,-,-,-,-,-,-,"0,001","0,001",-,-
Motores diesel,"139317,66599999997","109822,307","118661,835","128298,49699999997","122084,626","140917,08699999997","163555,16599999997","176789,65699999998","175537,68600000002","159632,843","138836,86899999998","147507,278","143655,96300000002","126879,501","141719,829","140173,508","147480,486","153616,54200000002","165718,84000000003","167897,929","147682,263","138591,80800000002","131681,798","137338,559"
Turbina de gas,"29429,544","19704,095","30354,842","26924,904","27238,325","36798,763","43494,214","49465,266","74505,015","49096,478","32937,466","31564,553","36750,209","37080,34","42347,135","35900,857","43970,828","50043,91","83917,89","89134,973","90759,519","86664,842","52625,649","54408,489"
Turbina de vapor,"105525,12","95365,477","91609,135","64575,905","56994,237","30883,351","60342,651","90623,118","102900,646","102101,825","104401,165","102505,007","106554,716","93168,158","103679,315","93964,823","78859,988","55165,973","66384,657","92768,901","100573,756","107289,741","84888,189","111000,786"
Ciclo combinado,"1084760,433","640848,076","869968,147","1332174,058","967100,033","1427031,316","1457521,771","1580431,973","1907816,926","1709433,701","2422026,694","1994173,857","2276985,813","1805940,837","1512733,848","1237673,269","1456543,8","2477137,02","3214211,031","3070656,462","2931514,89","2696807,99","1809410,567","1706388,982"
Cogeneracion,"891533,3910000002","677920,944","828908,0750000001","809820,8580000001","815877,2000000002","808420,8570000001","832943,4120000002","783371,5140000001","808221,8550000001","803587,1290000001","813368,751","814078,833","803990,8019999998","791399,789","827908,9949999999","640620,694","699951,845","544663,554","392824,8119999999","291700,97500000003","281505,311","411774,5239999999","540257,9550000002","419148,87"
Residuos no renovables,"67453,24799999999","62356,35200000001","64308,24999999999","53866,01699999999","63450,22300000001","67767,41500000001","73169,24900000001","74774,15299999998","66185,54600000002","64656,04800000001","66184,22799999999","56788,13499999999","44379,217","34691,283","53396,21600000001","57660,463","50508,825","46811,75700000001","65121,99200000001","61269,18699999999","47949,66799999999","50329,61","30613,949","32320,322"
Emisiones totales,"2859090,958","1783745,659","2244987,259","2683142,159","2376488,4980000006","2971569,063","2938934,615","3070669,985","3601296,00","3400057,798","4137428,313","3840930,9","4095293,476","3439113,3559999997","3362547,00","2870903,756","2984373,175","4130199,9770000004","4840243,007999999","4562333,851999999","4208026,700999999","3862281,793","2961978,0700000003","3128904,9840000006"
tCO2 eq/MWh,"0,119","0,086","0,103","0,136","0,117","0,15","0,132","0,143","0,175","0,167","0,181","0,163","0,17","0,165","0,149","0,134","0,137","0,18","0,185","0,183","0,18","0,179","0,14","0,144"